burst_id,frame_idx,in_x,in_s
20260521_013251_gen4,4,1,0
20260521_013251_gen4,5,1,0
20260521_013251_gen4,6,1,0
20260521_013251_gen4,7,1,0
20260521_013251_gen4,8,1,0
20260521_013251_gen4,9,0,1
20260521_030427_gen1,9,1,0
20260521_045816_gen1,6,1,0
20260521_064310_gen2,1,1,0
20260521_064310_gen2,2,1,0
20260521_064310_gen2,4,1,0
20260521_064310_gen2,9,0,1
20260521_064605_gen3,1,1,0
20260521_064605_gen3,2,1,0
20260521_064605_gen3,7,1,0
20260521_064605_gen3,8,0,1
20260521_064752_gen4,6,1,0
20260521_080701_gen2,2,1,0
20260521_080701_gen2,4,1,0
20260521_150744_gen1,4,1,0
20260521_150744_gen1,8,0,1
20260521_154756_gen2,0,0,1
20260521_154756_gen2,7,1,0
20260521_154756_gen2,8,1,0
20260521_163253_gen3,2,1,0
20260521_163253_gen3,3,1,0
20260521_163253_gen3,6,0,1
20260522_073908_gen4,0,1,0
20260523_003056_gen1,0,1,0
20260523_003308_gen2,4,1,0
20260523_003308_gen2,9,1,0
20260523_030714_gen1,0,1,0
20260523_030714_gen1,4,1,0
20260523_030714_gen1,5,1,0
20260524_025220_gen1,2,1,0
20260524_025220_gen1,7,1,0
20260524_025220_gen1,9,1,0
20260527_010505_gen1,5,1,0
20260527_010505_gen1,6,1,0
20260527_010505_gen1,9,1,0
20260527_202311_gen2,0,1,0
20260527_202311_gen2,2,1,0
20260527_202311_gen2,4,1,0
20260527_202311_gen2,5,1,0
20260527_204728_gen3,4,1,0
20260527_204728_gen3,6,1,0
20260527_204728_gen3,8,1,0
20260527_204728_gen3,9,1,0
20260527_214422_gen4,2,1,0
20260527_214422_gen4,3,1,0
20260527_214422_gen4,4,1,0
20260527_214530_gen5,6,1,0
20260527_214530_gen5,7,1,0
20260527_214847_gen8,0,1,0
20260527_214847_gen8,8,0,1
20260527_215602_gen9,5,1,0
20260527_215602_gen9,6,1,0
20260527_215602_gen9,9,1,0
20260527_231152_gen2,1,1,0
20260527_231152_gen2,2,1,0
20260527_231152_gen2,4,1,0
20260527_231152_gen2,6,1,0
20260527_231152_gen2,7,1,0
20260527_231152_gen2,9,1,0
20260528_004003_gen1,2,1,0
20260528_022229_gen1,2,1,0
20260528_022229_gen1,3,1,0
20260528_022229_gen1,5,1,0
20260528_022229_gen1,7,1,0
20260528_022229_gen1,8,1,0
20260528_024934_gen1,2,1,0
20260528_024934_gen1,3,1,0
20260528_024934_gen1,6,1,0
20260528_024934_gen1,7,1,0
20260528_032157_gen2,1,1,0
20260528_032157_gen2,2,1,0
20260528_032157_gen2,3,1,0
20260528_033102_gen3,4,1,0
20260528_064508_gen5,9,1,0
20260528_074604_gen1,0,1,0
20260528_074604_gen1,2,1,0
20260528_074604_gen1,7,0,1
20260528_090623_gen1,3,1,0
20260528_090623_gen1,4,1,0
20260528_090623_gen1,6,1,0
20260528_090623_gen1,7,1,0
20260528_203145_gen1,1,1,0
20260528_230028_gen6,4,1,0
20260528_230028_gen6,8,0,1
20260528_230028_gen6,9,1,0
20260529_032723_gen3,4,1,0
20260529_032723_gen3,5,1,0
20260529_034247_gen5,0,1,0
20260529_034247_gen5,1,1,0
20260529_034247_gen5,4,1,0
20260529_034247_gen5,5,1,0
20260529_034247_gen5,6,1,0
20260529_042114_gen6,4,1,0
20260529_042114_gen6,6,1,0
20260529_042114_gen6,7,1,0
20260529_042114_gen6,8,1,0
20260529_042114_gen6,9,1,0
20260529_042756_gen2,2,1,0
20260529_042756_gen2,3,1,0
20260529_043644_gen3,7,0,1
20260529_043644_gen3,8,0,1
20260529_043644_gen3,9,1,0
20260529_070014_gen1,4,0,1
20260529_073151_gen3,7,0,1
20260529_081047_gen5,1,1,0
20260529_081047_gen5,2,1,0
20260529_081047_gen5,3,1,0
20260529_081047_gen5,4,0,1
20260529_081047_gen5,6,1,0
20260529_081047_gen5,7,1,0
20260529_081047_gen5,8,1,0
20260529_152319_gen1,6,0,1
20260529_152319_gen1,7,0,1
20260529_152319_gen1,9,1,0
20260529_233328_gen2,3,1,0
