mode,topk,w_prey,w_cat,w_count,prey_count_threshold,threshold,tp,fp,fn,tn,n,precision,recall,f1,objective
topk_mean,3,0.8,-0.3,0.0,0.3,0.34,24,0,3,362,389,1.0,0.8888888888888888,0.9411764705882353,15.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.36,23,0,4,362,389,1.0,0.8518518518518519,0.92,20.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.38,23,0,4,362,389,1.0,0.8518518518518519,0.92,20.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.4,23,0,4,362,389,1.0,0.8518518518518519,0.92,20.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.42,23,0,4,362,389,1.0,0.8518518518518519,0.92,20.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.44,23,0,4,362,389,1.0,0.8518518518518519,0.92,20.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.46,23,0,4,362,389,1.0,0.8518518518518519,0.92,20.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.48,22,0,5,362,389,1.0,0.8148148148148148,0.8979591836734693,25.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.5,6,0,21,362,389,1.0,0.2222222222222222,0.3636363636363636,105.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.52,2,0,25,362,389,1.0,0.07407407407407407,0.13793103448275862,125.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.54,2,0,25,362,389,1.0,0.07407407407407407,0.13793103448275862,125.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.56,2,0,25,362,389,1.0,0.07407407407407407,0.13793103448275862,125.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.58,2,0,25,362,389,1.0,0.07407407407407407,0.13793103448275862,125.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.6,2,0,25,362,389,1.0,0.07407407407407407,0.13793103448275862,125.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.62,1,0,26,362,389,1.0,0.037037037037037035,0.07142857142857142,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.64,1,0,26,362,389,1.0,0.037037037037037035,0.07142857142857142,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.66,1,0,26,362,389,1.0,0.037037037037037035,0.07142857142857142,130.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.68,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.7,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.72,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.74,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.76,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.78,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.8,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.82,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.84,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.86,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.88,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.9,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.92,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.94,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.96,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,0.98,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.0,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.02,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.04,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.06,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.08,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.1,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.12,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.14,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.16,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.18,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.2,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.22,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.24,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.26,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.28,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.3,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.32,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.34,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.36,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.38,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.4,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.42,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.44,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.46,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.48,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.5,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.52,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.54,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.56,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,3,0.8,-0.3,0.0,0.3,1.58,0,0,27,362,389,0.0,0.0,0.0,135.0
max,1,0.8,-0.3,0.0,0.5,0.1,25,15,2,347,389,0.625,0.9259259259259259,0.7462686567164178,25.0
max,1,0.8,-0.3,0.0,0.5,0.12,25,14,2,348,389,0.6410256410256411,0.9259259259259259,0.7575757575757577,24.0
max,1,0.8,-0.3,0.0,0.5,0.14,24,12,3,350,389,0.6666666666666666,0.8888888888888888,0.761904761904762,27.0
max,1,0.8,-0.3,0.0,0.5,0.16,24,12,3,350,389,0.6666666666666666,0.8888888888888888,0.761904761904762,27.0
max,1,0.8,-0.3,0.0,0.5,0.18,24,11,3,351,389,0.6857142857142857,0.8888888888888888,0.7741935483870968,26.0
max,1,0.8,-0.3,0.0,0.5,0.2,24,11,3,351,389,0.6857142857142857,0.8888888888888888,0.7741935483870968,26.0
max,1,0.8,-0.3,0.0,0.5,0.22,24,11,3,351,389,0.6857142857142857,0.8888888888888888,0.7741935483870968,26.0
max,1,0.8,-0.3,0.0,0.5,0.24,24,8,3,354,389,0.75,0.8888888888888888,0.8135593220338982,23.0
